,name,brand,chipset,chipset_gen,ram,ram_max,vga,storage_type,storage,os,screen_size,webcam,weight,price
513,Laptop HP 15s fq5146TU 7C0R9PA (Core i7 1255U/ 8GB/ 512GB SSD/ Intel Iris Xe Graphics/ 15.6inch Full HD/ Windows 11 Home/ Blue),HP,Intel,i7,8.0,32.0,intel,SSD,512,Windows 11,15.0,1,1.69,21590000 
514,Laptop Asus TUF Gaming FX517ZE-HN888W (Core i7 12650H/ 8GB/ 512GB SSD/ Nvidia GeForce RTX 3050Ti 4Gb GDDR6/ 15.6inch Full HD/ Windows 11 Home/ Black),Asus,Intel,i7,8.0,32.0,nvidia,SSD,512,Windows 11,15.0,1,1.4,32990000 
515,Laptop HP Gaming Victus 16-d0291TX 5Z9R2PA (Core i7 11800H/ 8GB/ 512GB SSD/ Nvidia GeForce RTX 3050Ti 4Gb GDDR6/ 16.1inch FHD/ Windows 11 Home/ Black),HP,Intel,i7,8.0,32.0,nvidia,SSD,512,Windows 11,16.0,1,2.46,28990000 
516,Laptop HP Pavilion 15-eg2085TU 7C0Q7PA (Core i5 1240P/ 8GB/ 256GB SSD/ Intel Iris Xe Graphics/ 15.6inch Full HD/ Windows 11 Home/ Silver/ Hợp kim nhôm),HP,Intel,i5,8.0,32.0,intel,SSD,256,Windows 11,15.0,1,1.74,18790000 
517,Laptop HP Pavilion 14-dv2070TU 7C0V9PA (Core i3 1215U/ 8GB/ 256GB SSD/ Intel UHD Graphics/ 14.0inch Full HD/ Windows 11 Home/ Silver/ Hợp kim nhôm),HP,Intel,i3,8.0,32.0,intel,SSD,256,Windows 11,14.0,1,1.4,15290000 
518,Laptop HP Gaming Victus 16-e1104AX 7C0S9PA (Ryzen 7 6800H/ 8GB/ 512GB SSD/ Nvidia GeForce RTX 3050 4Gb GDDR6/ 16.1inch FHD/ Windows 11 Home/ Black),HP,AMD,Ryzen 7,8.0,32.0,nvidia,SSD,512,Windows 11,16.0,1,2.46,29290000 
519,Laptop HP Gaming Victus 16-e1102AX 7C139PA (Ryzen 7 6800H/ 16GB/ 512GB SSD/ Nvidia GeForce RTX 3050Ti 4Gb GDDR6/ 16.1inch FHD/ Windows 11 Home/ Blue),HP,AMD,Ryzen 7,16.0,32.0,nvidia,SSD,512,Windows 11,16.0,1,2.46,31990000 
520,Laptop HP 14s dq2644TU 7C0W6PA (Core i3 1115G4/ 8GB/ 256GB SSD/ Intel UHD Graphics/ 14.0inch Full HD/ Windows 11 Home/ Silver),HP,Intel,i3,8.0,32.0,intel,SSD,256,Windows 11,14.0,1,1.46,12690000 
521,Laptop HP EliteBook 840 G9 6Z970PA (Core i7 1260P/ 8GB/ 512GB SSD/ Intel Iris Xe Graphics/ 14.0inch WUXGA/ Windows 11 Pro/ Silver/ Vỏ nhôm),HP,Intel,i7,8.0,32.0,intel,SSD,512,Windows 11,14.0,1,1.36,40000000 
522,Laptop HP Pavilion 15-eg2081TU 7C0Q4PA (Core i5 1240P/ 16GB/ 512GB SSD/ Intel Iris Xe Graphics/ 15.6inch Full HD/ Windows 11 Home/ Gold/ Hợp kim nhôm),HP,Intel,i5,16.0,32.0,intel,SSD,512,Windows 11,15.0,1,1.74,20990000 
