,name,brand,chipset,chipset_gen,ram,ram_max,vga,storage_type,storage,os,screen_size,screen_width,screen_height,screen_revolution,battery,webcam,weight,price,screen_full
37,"Lenovo Yoga 7 16IRL8 (Core™ i5-1335U, Ram 16GB, 512GB SSD, Intel® Iris® Xe Graphics, 16inch WUXGA, Win 11, Xám)",Lenovo,Intel,i5,16.0,24.0,intel,SSD,512,Windows 11,16.0,1920.0,1200.0,WUXGA,71.0,0,2.04,18990000.0,1920x1200
38,Laptop Lenovo ThinkPad X13 Gen 4 21EXS0L400 (Core™ i7-1360P | 16GB | 512GB | Intel Iris Xe | 13.3 inch WUXGA | No OS | Đen),Lenovo,Intel,i7,16.0,24.0,intel,SSD,512,NoOS,13.3,1920.0,1200.0,WUXGA,41.0,1,1.12,34990000.0,1920x1200
39,"Lenovo Yoga 7 16IRL8 (Core™ i7-1355U, Ram 16GB, 512GB SSD, Intel® Iris® Xe Graphics, 16inch WUXGA, Cảm ứng, Win 11, Xám)",Lenovo,Intel,i7,16.0,24.0,intel,SSD,512,Windows 11,16.0,1920.0,1200.0,WUXGA,71.0,0,2.04,21990000.0,1920x1200
40,Laptop Lenovo Ideapad Slim 5 14IMH9 83DA001YVN (Intel® Core™ Ultra 7 155H | 32GB | 512GB | Intel® Arc™ Graphics | 14 inch WUXGA OLED | Win 11 | Xám),Lenovo,Intel,Ultra 7,32.0,48.0,intel,SSD,512,Windows 11,14.0,1920.0,1200.0,WUXGA,57.0,1,1.48,26990000.0,1920x1200
41,Laptop Lenovo IdeaPad Pro 5 16IMH9 83D4001JVN (Intel® Core™ Ultra 7 155H | 16GB | 512GB |  RTX 3050 | 16.0inch 2K OLED 120Hz | Win 11 | Xám) ,Lenovo,Intel,Ultra 7,16.0,24.0,nvidia,SSD,512,Windows 11,16.0,2048.0,1280.0,2K,84.0,1,1.91,34990000.0,2048x1280
42,LG Gram 2023 14Z90R-G.AH75A5 (Core i7-1360P | 16GB | 512GB | Intel Iris Xe | 14-inch WUXGA | Win 11 | Đen),LG,Intel,i7,16.0,24.0,intel,SSD,512,Windows 11,14,1920.0,1200.0,WUXGA,72.0,1,0.999,38990000.0,1920x1200
43,Laptop Asus Zenbook Duo OLED UX8406MA-PZ307W (Core™ Ultra 7 155H | 16GB | 512GB | Intel® Arc™ Graphics | 14.0inch 3K OLED 120Hz | Bút cảm ứng | Bàn phím | Win 11 | Xám),Asus,Intel,Ultra 7,16.0,24.0,intel,SSD,512,Windows 11,14.0,2880.0,1800.0,3K,75.0,1,1.65,49990000.0,2880 x 1800
44,Laptop Lenovo Yoga Book 9 13IMU9 83FF001SVN (Intel® Core™ Ultra 7 155U | 32GB | 1TB | Intel Arc™ Graphics | 13.3 inch 2.8K OLED | Cảm ứng | Win 11 | Office | Tidal Teal) ,Lenovo,Intel,Ultra 7,32.0,48.0,intel,SSD,1024,Windows 11,13.3,2880.0,1800.0,2.8K,75.0,1,1.34,66990000.0,2880x1800
45,"Laptop Dell Inspiron 7430 2in1 (Intel i5-1335U, Ram 8GB,  512G SSD, 14inch FHD+, Cảm ứng, Platium)",Dell,Intel,i5,8.0,12.0,intel,SSD,512,Windows 11,14.0,1920.0,1200.0,FHD,54.0,1,1.58,20990000.0,1920 x 1200
46,"Laptop HP Envy x360 2in1 14-es0033dx ( Core™ i7-1355U ,Ram 16GB, SSD 1TB, 14 inch FHD, Touch, Win 11)",HP,Intel,i7,16.0,24.0,intel,SSD,1024,Windows 11,14.0,1920.0,1080.0,FHD,43.0,1,1.52,26990000.0,1920 x 1080
