os,ram,vga,battery,weight,price,webcam,chipset,chipset_gen,screen_size,screen_width,screen_height,screen_revolution,storage_type,storage,brand,ram_max
Win,16,nvidia,90,2.5,45990000,1,Intel,i9,15.6,1920,1080,QHD,SSD,1024,Asus,24
Win,16,nvidia,90,2.5,36490000,1,Intel,i7,15.6,1920,1080,FHD,SSD,512,Asus,24
Win,16,nvidia,90,2.5,41999000,1,Intel,i7,16,2560,1600,QHD,SSD,512,Asus,32
Win,8,nvidia,90,2.5,25799000,1,Intel,i5,15.6,1920,1080,FHD,SSD,512,Acer,16
Win,16,nvidia,90,2.5,37489000,1,Intel,i7,15.6,1920,1080,FHD,SSD,512,Acer,32
Win,16,nvidia,90,2.5,37999000,1,Intel,i7,16,1920,1200,FHD,SSD,512,Asus,32
Win,16,nvidia,90,2.5,53999000,1,Intel,i7,16,1920,1200,FHD,SSD,1024,Asus,32
Win,32,nvidia,84,2.54,150999000,1,Intel,i7,15.6,3840,2160,4K,SSD,2048,Asus,64
Win,32,nvidia,84,2.54,80299000,1,Intel,i7,15.6,3840,2160,4K,SSD,1024,Asus,64
Win,8,nvidia,80,2.55,44999000,1,Intel,i9,16,2560,1600,FHD,SSD,1024,Lenovo,16
Win,8,nvidia,80,2.55,51999000,1,Intel,i9,16,2560,1600,FHD,SSD,1024,Lenovo,16
Win,16,nvidia,90,2.59,29990000,1,Intel,i7,15.6,1920,1080,FHD,SSD,512,Acer,24
Win,8,nvidia,76,2.6,24999000,0,AMD,Ryzen 7,14,2560,1440,QHD,SSD,512,Asus,16
Win,16,nvidia,76,2.6,19499000,1,Intel,i5,15.6,1920,1080,FHD,SSD,512,Asus,32
Win,16,nvidia,83,2.6,78999000,1,Intel,i7,16,1920,1200,FHD,SSD,1024,Dell,32
Win,16,nvidia,83,2.6,85999000,1,Intel,i9,16,1920,1200,FHD,SSD,1024,Dell,32
