,name,brand,chipset,chipset_gen,ram,ram_max,vga,storage_type,storage,os,screen_size,screen_revolution,battery,webcam,weight,price,screen_pixels,screen_width,screen_height
149,Laptop Dell Inspiron 3501 (3692BLK) (i3 1115G4 8GB RAM/256GB SSD/15.6 inch FHD Cảm ứng/Win10/Đen) (NK_Bảo hành tại HACOM),Dell,Intel,i3,8,16,intel,SSD,256,Windows 10,15.6,FHD,42.0,1,1.91,9999000,1920x1080,1920,1080
150,Laptop Dell Vostro 3420 (71003348) (i5 1235U/8GB RAM/512GB SSD/14.0 inch FHD/Win11/Office HS21/Xám),Dell,Intel,i5,8,16,intel,SSD,512,Windows 11,14.0,FHD,41.0,1,1.49,14699000,1920x1080,1920,1080
151,Laptop MSI Prestige 14Evo (B13M-401VN) (i5 13500H/16GB RAM/512GB SSD/14.0 inch FHD+ /Win11/Bạc/Vỏ nhôm) ,MSI,Intel,i5,16,16,intel,SSD,512,Windows 11,14.0,FHD,72.0,1,1.7,24099000,1920x1200,1920,1200
152,Laptop Acer Aspire 3 A315-58-529V (NX.ADDSV.00N) (i5 1135G7/RAM 4GB (onboard) + 4GB (rời)/256GB SSD/15.6 inch FHD/Win 11/Bạc),Acer,Intel,i5,4,12,intel,SSD,256,Windows 11,15.6,FHD,36.7,1,1.7,11799000,1920x1080,1920,1080
153,Laptop MSI Modern 15 (B12MO-628VN) (i5 1235U/16GB RAM/512GB SSD/15.6 inch FHD IPS/Win11/Đen) ,MSI,Intel,i5,16,16,intel,SSD,512,Windows 11,15.6,FHD,41.0,1,1.7,13699000,1920x1080,1920,1080
154,Laptop Asus VivoBook A1405VA-KM257W (i5 13500H/16GB RAM/512GB SSD/14 2.8K Oled/Win11/Đen),Asus,Intel,i5,16,16,intel,SSD,512,Windows 11,14.0,FHD,50.0,1,1.60 ,17799000,2880x1800,2880,1800
155,Laptop Dell Inspiron 16 5630 (H6KRV) (i5 1340P 16GB RAM/512GB SSD/RTX2050 4G/16.0 inch FHD/Win11/Office HS21/Vỏ nhôm/Bạc),Dell,Intel,i5,16,16,nvidia,SSD,512,Windows 11,16.0,FHD,54.0,1,1.9,24799000,1920x1200,1920,1200
156,Laptop Dell Inspiron 3530 (N3530I716W1) (i7 1355U 16GB RAM/512GB SSD/ MX550 2G/15.6 inch FHD 120Hz/Win11/OfficeHS21/Bạc),Dell,Intel,i7,16,16,nvidia,SSD,512,Windows 11,15.6,FHD,54.0,1,1.65,22849000,1920x1080,1920,1080
157,Laptop Dell Vostro 3520 (5M2TT2) (i5 1235U 8GB RAM/512GB SSD/15.6 inch FHD/Win11/OfficeHS21/Xám),Dell,Intel,i5,8,32,intel,SSD,512,Windows 11,15.6,FHD,41.0,1,1.65,14499000,1920x1080,1920,1080
158,Laptop Dell Vostro 3430 (71026453) (i3 1305U 8GB RAM/512GB SSD/ 14.0FHD/Win11/OfficeHS21/Xám),Dell,Intel,i3,8,16,intel,SSD,512,Windows 11,14.0,FHD,41.0,1,1.44,12499000,1920x1080,1920,1080
